Article_Title,Author,Year,Description,Revue,Volume,Number,Pages
Multiscale biological tissue models and flux-limited chemotaxis for multicellular growing systems,J Nieto,2010,"Mathematical Models and Methods in Applied Sciences 20 (07), 1179-1207, 2010",Mathematical Models and Methods in Applied Sciences,20,07,1179-1207
Multiscale biological tissue models and flux-limited chemotaxis for multicellular growing systems,J Soler,2010,"Mathematical Models and Methods in Applied Sciences 20 (07), 1179-1207, 2010",Mathematical Models and Methods in Applied Sciences,20,07,1179-1207
Multiscale biological tissue models and flux-limited chemotaxis for multicellular growing systems,ABDELGHANI BELLOUQUID,2010,"Mathematical Models and Methods in Applied Sciences 20 (07), 1179-1207, 2010",Mathematical Models and Methods in Applied Sciences,20,07,1179-1207
Mathematical modeling of complex biological systems,A Bellouquid,2006,"Birkhũser Boston, 2006","Birkhũser Boston,",,,
Mathematical modeling of complex biological systems,M Delitala,2006,"Birkhũser Boston, 2006","Birkhũser Boston,",,,
Mathematical modeling of complex biological systems,ABDELGHANI BELLOUQUID,2006,"Birkhũser Boston, 2006","Birkhũser Boston,",,,
Mathematical topics on the modelling complex multicellular systems and tumor immune cells competition,N Bellomo,2004,"Mathematical Models and Methods in Applied Sciences 14 (11), 1683-1733, 2004",Mathematical Models and Methods in Applied Sciences,14,11,1683-1733
Mathematical topics on the modelling complex multicellular systems and tumor immune cells competition,A Bellouquid,2004,"Mathematical Models and Methods in Applied Sciences 14 (11), 1683-1733, 2004",Mathematical Models and Methods in Applied Sciences,14,11,1683-1733
Mathematical topics on the modelling complex multicellular systems and tumor immune cells competition,M Delitala,2004,"Mathematical Models and Methods in Applied Sciences 14 (11), 1683-1733, 2004",Mathematical Models and Methods in Applied Sciences,14,11,1683-1733
Mathematical topics on the modelling complex multicellular systems and tumor immune cells competition,ABDELGHANI BELLOUQUID,2004,"Mathematical Models and Methods in Applied Sciences 14 (11), 1683-1733, 2004",Mathematical Models and Methods in Applied Sciences,14,11,1683-1733
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,N Bellomo,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,A Bellouquid,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,J Nieto,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,J Soler,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,ABDELGHANI BELLOUQUID,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
Mathematical methods and tools of kinetic theory towards modelling complex biological systems,A Bellouquid,2005,"Mathematical models and methods in applied sciences 15 (11), 1639-1666, 2005",Mathematical models and methods in applied sciences,15,11,1639-1666
Mathematical methods and tools of kinetic theory towards modelling complex biological systems,M Delitala,2005,"Mathematical models and methods in applied sciences 15 (11), 1639-1666, 2005",Mathematical models and methods in applied sciences,15,11,1639-1666
Mathematical methods and tools of kinetic theory towards modelling complex biological systems,ABDELGHANI BELLOUQUID,2005,"Mathematical models and methods in applied sciences 15 (11), 1639-1666, 2005",Mathematical models and methods in applied sciences,15,11,1639-1666
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,N Bellomo,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,supp01,1675-1692
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,A Bellouquid,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,supp01,1675-1692
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,J Nieto,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,supp01,1675-1692
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,J Soler,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,supp01,1675-1692
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,ABDELGHANI BELLOUQUID,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,supp01,1675-1692
From the microscale to collective crowd dynamics,N Bellomo,2013,"Multiscale Modeling & Simulation 11 (3), 943-963, 2013",Multiscale Modeling & Simulation,11,3,943-963
From the microscale to collective crowd dynamics,A Bellouquid,2013,"Multiscale Modeling & Simulation 11 (3), 943-963, 2013",Multiscale Modeling & Simulation,11,3,943-963
From the microscale to collective crowd dynamics,D Knopoff,2013,"Multiscale Modeling & Simulation 11 (3), 943-963, 2013",Multiscale Modeling & Simulation,11,3,943-963
From the microscale to collective crowd dynamics,ABDELGHANI BELLOUQUID,2013,"Multiscale Modeling & Simulation 11 (3), 943-963, 2013",Multiscale Modeling & Simulation,11,3,943-963
From the modeling of the immune hallmarks of cancer to a black swan in biology,A Bellouquid,2013,"Mathematical Models and Methods in Applied Sciences 23 (05), 949-978, 2013",Mathematical Models and Methods in Applied Sciences,23,05,949-978
From the modeling of the immune hallmarks of cancer to a black swan in biology,E De Angelis,2013,"Mathematical Models and Methods in Applied Sciences 23 (05), 949-978, 2013",Mathematical Models and Methods in Applied Sciences,23,05,949-978
From the modeling of the immune hallmarks of cancer to a black swan in biology,D Knopoff,2013,"Mathematical Models and Methods in Applied Sciences 23 (05), 949-978, 2013",Mathematical Models and Methods in Applied Sciences,23,05,949-978
From the modeling of the immune hallmarks of cancer to a black swan in biology,ABDELGHANI BELLOUQUID,2013,"Mathematical Models and Methods in Applied Sciences 23 (05), 949-978, 2013",Mathematical Models and Methods in Applied Sciences,23,05,949-978
From a multiscale derivation of nonlinear cross-diffusion models to Keller–Segel models in a Navier–Stokes fluid,N Bellomo,2016,"Mathematical Models and Methods in Applied Sciences 26 (11), 2041-2069, 2016",Mathematical Models and Methods in Applied Sciences,26,11,2041-2069
From a multiscale derivation of nonlinear cross-diffusion models to Keller–Segel models in a Navier–Stokes fluid,A Bellouquid,2016,"Mathematical Models and Methods in Applied Sciences 26 (11), 2041-2069, 2016",Mathematical Models and Methods in Applied Sciences,26,11,2041-2069
From a multiscale derivation of nonlinear cross-diffusion models to Keller–Segel models in a Navier–Stokes fluid,N Chouhad,2016,"Mathematical Models and Methods in Applied Sciences 26 (11), 2041-2069, 2016",Mathematical Models and Methods in Applied Sciences,26,11,2041-2069
From a multiscale derivation of nonlinear cross-diffusion models to Keller–Segel models in a Navier–Stokes fluid,ABDELGHANI BELLOUQUID,2016,"Mathematical Models and Methods in Applied Sciences 26 (11), 2041-2069, 2016",Mathematical Models and Methods in Applied Sciences,26,11,2041-2069
Towards the modeling of vehicular traffic as a complex system: A kinetic theory approach,A Bellouquid,2012,"Mathematical models and methods in applied sciences 22 (supp01), 1140003, 2012",Mathematical models and methods in applied sciences,22,supp01,1140003
Towards the modeling of vehicular traffic as a complex system: A kinetic theory approach,E De Angelis,2012,"Mathematical models and methods in applied sciences 22 (supp01), 1140003, 2012",Mathematical models and methods in applied sciences,22,supp01,1140003
Towards the modeling of vehicular traffic as a complex system: A kinetic theory approach,L FERMO,2012,"Mathematical models and methods in applied sciences 22 (supp01), 1140003, 2012",Mathematical models and methods in applied sciences,22,supp01,1140003
Towards the modeling of vehicular traffic as a complex system: A kinetic theory approach,ABDELGHANI BELLOUQUID,2012,"Mathematical models and methods in applied sciences 22 (supp01), 1140003, 2012",Mathematical models and methods in applied sciences,22,supp01,1140003
Modelling Complex Multicellular Systems-A Kinetic Theory Approach,A Bellouquid,2006,"Birkäuser, Boston, 2006","Birkäuser, Boston,",,,
Modelling Complex Multicellular Systems-A Kinetic Theory Approach,M Delitala,2006,"Birkäuser, Boston, 2006","Birkäuser, Boston,",,,
Modelling Complex Multicellular Systems-A Kinetic Theory Approach,ABDELGHANI BELLOUQUID,2006,"Birkäuser, Boston, 2006","Birkäuser, Boston,",,,
On multiscale models of pedestrian crowds from mesoscopic to macroscopic,N Bellomo,2015,"Communications in Mathematical Sciences 13 (7), 1649-1664, 2015",Communications in Mathematical Sciences,13,7,1649-1664
On multiscale models of pedestrian crowds from mesoscopic to macroscopic,A Bellouquid,2015,"Communications in Mathematical Sciences 13 (7), 1649-1664, 2015",Communications in Mathematical Sciences,13,7,1649-1664
On multiscale models of pedestrian crowds from mesoscopic to macroscopic,ABDELGHANI BELLOUQUID,2015,"Communications in Mathematical Sciences 13 (7), 1649-1664, 2015",Communications in Mathematical Sciences,13,7,1649-1664
A quest towards a mathematical theory of living systems,N Bellomo,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
A quest towards a mathematical theory of living systems,A Bellouquid,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
A quest towards a mathematical theory of living systems,L Gibelli,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
A quest towards a mathematical theory of living systems,N Outada,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
A quest towards a mathematical theory of living systems,ABDELGHANI BELLOUQUID,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,N Bellomo,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,A Bellouquid,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,J Nieto,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,J SOLERZ,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,ABDELGHANI BELLOUQUID,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
On the modeling of crowd dynamics: Looking at the beautiful shapes of swarms.,N Bellomo,2011,"Networks Heterog. Media 6 (3), 383-399, 2011",Networks Heterog. Media,6,3,383-399
On the modeling of crowd dynamics: Looking at the beautiful shapes of swarms.,A Bellouquid,2011,"Networks Heterog. Media 6 (3), 383-399, 2011",Networks Heterog. Media,6,3,383-399
On the modeling of crowd dynamics: Looking at the beautiful shapes of swarms.,ABDELGHANI BELLOUQUID,2011,"Networks Heterog. Media 6 (3), 383-399, 2011",Networks Heterog. Media,6,3,383-399
M. Winkler Toward a mathematical theory of Keller-Segel models of pattern formation in biological tissues,N Bellomo,2015,"Math. Models Methods Appl. Sci 25 (9), 1663-1763, 2015",Math. Models Methods Appl. Sci,25,9,1663-1763
M. Winkler Toward a mathematical theory of Keller-Segel models of pattern formation in biological tissues,A Bellouquid,2015,"Math. Models Methods Appl. Sci 25 (9), 1663-1763, 2015",Math. Models Methods Appl. Sci,25,9,1663-1763
M. Winkler Toward a mathematical theory of Keller-Segel models of pattern formation in biological tissues,Y Tao,2015,"Math. Models Methods Appl. Sci 25 (9), 1663-1763, 2015",Math. Models Methods Appl. Sci,25,9,1663-1763
M. Winkler Toward a mathematical theory of Keller-Segel models of pattern formation in biological tissues,ABDELGHANI BELLOUQUID,2015,"Math. Models Methods Appl. Sci 25 (9), 1663-1763, 2015",Math. Models Methods Appl. Sci,25,9,1663-1763
On the onset of non-linearity for diffusion models of binary mixtures of biological materials by asymptotic analysis,N Bellomo,2006,"International Journal of Non-Linear Mechanics 41 (2), 281-293, 2006",International Journal of Non-Linear Mechanics,41,2,281-293
On the onset of non-linearity for diffusion models of binary mixtures of biological materials by asymptotic analysis,A Bellouquid,2006,"International Journal of Non-Linear Mechanics 41 (2), 281-293, 2006",International Journal of Non-Linear Mechanics,41,2,281-293
On the onset of non-linearity for diffusion models of binary mixtures of biological materials by asymptotic analysis,ABDELGHANI BELLOUQUID,2006,"International Journal of Non-Linear Mechanics 41 (2), 281-293, 2006",International Journal of Non-Linear Mechanics,41,2,281-293
From kinetic models of multicellular growing systems to macroscopic biological tissue models,A Bellouquid,2011,"Nonlinear Analysis: Real World Applications 12 (2), 1111-1122, 2011",Nonlinear Analysis: Real World Applications,12,2,1111-1122
From kinetic models of multicellular growing systems to macroscopic biological tissue models,E De Angelis,2011,"Nonlinear Analysis: Real World Applications 12 (2), 1111-1122, 2011",Nonlinear Analysis: Real World Applications,12,2,1111-1122
From kinetic models of multicellular growing systems to macroscopic biological tissue models,ABDELGHANI BELLOUQUID,2011,"Nonlinear Analysis: Real World Applications 12 (2), 1111-1122, 2011",Nonlinear Analysis: Real World Applications,12,2,1111-1122
From a class of kinetic models to the macroscopic equations for multicellular systems in biology,N Bellomo,2004,"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B 4 (1), 59-80, 2004",DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B,4,1,59-80
From a class of kinetic models to the macroscopic equations for multicellular systems in biology,A Bellouquid,2004,"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B 4 (1), 59-80, 2004",DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B,4,1,59-80
From a class of kinetic models to the macroscopic equations for multicellular systems in biology,ABDELGHANI BELLOUQUID,2004,"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B 4 (1), 59-80, 2004",DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B,4,1,59-80
The south-western branch of the Variscan Belt: evidence from Morocco,A Michard,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The south-western branch of the Variscan Belt: evidence from Morocco,A Soulaimani,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The south-western branch of the Variscan Belt: evidence from Morocco,C Hœpffner,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The south-western branch of the Variscan Belt: evidence from Morocco,H Ouanaimi,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The south-western branch of the Variscan Belt: evidence from Morocco,L Baidder,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The south-western branch of the Variscan Belt: evidence from Morocco,EC Rjimati,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,1-4,1-24
The pan-african belt,D Gasquet,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The pan-african belt,N Ennih,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The pan-african belt,JP Liégeois,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The pan-african belt,A Soulaimani,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The pan-african belt,A Michard,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The pan-african belt,Soulaimani Abderrahmane,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The moroccan hercynides,C Hoepffner,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,1-3,144-165
The moroccan hercynides,A Soulaimani,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,1-3,144-165
The moroccan hercynides,A Piqué,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,1-3,144-165
The moroccan hercynides,Soulaimani Abderrahmane,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,1-3,144-165
The variscan belt,A Michard,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The variscan belt,C Hœpffner,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The variscan belt,A Soulaimani,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The variscan belt,L Baidder,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The variscan belt,Soulaimani Abderrahmane,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
Tectonics of the anti-Atlas of Morocco,M Burkhard,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
Tectonics of the anti-Atlas of Morocco,S Caritg,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
Tectonics of the anti-Atlas of Morocco,U Helg,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
Tectonics of the anti-Atlas of Morocco,C Robert-Charrue,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
Tectonics of the anti-Atlas of Morocco,A Soulaimani,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
Tectonics of the anti-Atlas of Morocco,Soulaimani Abderrahmane,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,1-2,11-24
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",N Youbi,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",D Kouyaté,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",U Söderlund,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",RE Ernst,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",A Soulaimani,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",A Hafid,2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106-123
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),A Soulaimani,2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,83-92
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),M Bouabdelli,2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,83-92
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),A Piqué,2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,83-92
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),Soulaimani Abderrahmane,2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,83-92
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",K Hefferan,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",A Soulaimani,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",SD Samson,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",H Admou,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",J Inglis,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",A Saquaque,2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,34-46
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",D Kouyaté,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",U Söderlund,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",N Youbi,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",R Ernst,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",A Hafid,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",M Ikenne,2013,"Lithos 174, 71-84, 2013",Lithos,174,,71-84
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),O Blein,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),T Baudin,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),P Chevremont,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),A Soulaimani,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),H Admou,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),P Gasquet,2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287-306
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),A Soulaimani,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),A Michard,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),H Ouanaimi,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),L Baidder,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),Y Raddi,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
Late Ediacaran–Cambrian structures and their reactivation during the Variscan and Alpine cycles in the Anti-Atlas (Morocco),O Saddiqi,2014,"Journal of African Earth Sciences 98, 94-112, 2014",Journal of African Earth Sciences,98,,94-112
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,A El Bahat,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,M Ikenne,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,U Söderlund,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,B Cousens,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,N Youbi,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas Drâa Inlier of the Anti-Atlas of Morocco: newly identified 1380 Ma event in the West African Craton,R Ernst,2013,"Lithos 174, 85-98, 2013",Lithos,174,,85-98
Reply to Comment on “U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas-Drâa inlier of the Anti-Atlas of Morocco: Newly identified 1380 Ma event in the West …,U Söderlund,2013,"Lithos 174, 101-108, 2013",Lithos,174,,101-108
Reply to Comment on “U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas-Drâa inlier of the Anti-Atlas of Morocco: Newly identified 1380 Ma event in the West …,M Ibanez-Mejia,2013,"Lithos 174, 101-108, 2013",Lithos,174,,101-108
