Article_Title,Author,Year,Description,Revue,Volume,Number,Pages
Growth promotion and protection against damping-off of wheat by two rock phosphate solubilizing actinomycetes in a P-deficient soil under greenhouse conditions,H Hamdali,2008,"Applied soil ecology 40 (3), 510-517, 2008",Applied soil ecology,40,3,510-517
Exploiting biological nitrogen fixation: a route towards a sustainable agriculture,A Soumare,2020,"Plants 9 (8), 1011, 2020",Plants,9,8,1011
Early physiological responses of Arabidopsis thaliana cells to fusaric acid: toxic and signalling effects,B Bouizgarne,2006,"New Phytologist 169 (1), 209-218, 2006",New Phytologist,169,1,209-218
Characterization of rhizospheric soil streptomycetes from Moroccan habitats and their antimicrobial activities,M Barakate,2002,"World Journal of Microbiology and Biotechnology 18, 49-54, 2002",World Journal of Microbiology and Biotechnology,18,,49-54
Antagonistic actinomycetes from Moroccan soil to control the grapevine gray mold,S Loqman,2009,"World Journal of Microbiology and Biotechnology 25, 81-91, 2009",World Journal of Microbiology and Biotechnology,25,,81-91
From isolation of phosphate solubilizing microbes to their formulation and use as biofertilizers: status and needs,A Soumare,2020,"Frontiers in bioengineering and biotechnology 7, 425, 2020",Frontiers in bioengineering and biotechnology,7,,425
Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials,A Nafis,2019,"Diversity 11 (8), 139, 2019",Diversity,11,8,139
Antimicrobial potential of actinomycetes isolated from the unexplored hot Merzouga desert and their taxonomic diversity,L Ouchari,2019,"Biology open 8 (2), bio035410, 2019",Biology open,8,2,bio035410
The screening of potassium-and phosphate-solubilizing actinobacteria and the assessment of their ability to promote wheat growth parameters,K Boubekri,2021,"Microorganisms 9 (3), 470, 2021",Microorganisms,9,3,470
Isolation and characterization of rock phosphate solubilizing actinobacteria from a Togolese phosphate mine,H Hamdali,2012,"African Journal of Biotechnology 11 (2), 312, 2012",African Journal of Biotechnology,11,2,312
Potential role and utilization of plant growth promoting microbes in plant tissue culture,A Soumare,2021,"Frontiers in Microbiology 12, 649878, 2021",Frontiers in Microbiology,12,,649878
Physiological studies and comparative analysis of rock phosphate solubilization abilities of Actinomycetales originating from Moroccan phosphate mines and of Streptomyces lividans,H Hamdali,2010,"Applied Soil Ecology 44 (1), 24-31, 2010",Applied Soil Ecology,44,1,24-31
A putative role for fusaric acid in biocontrol of the parasitic angiosperm Orobanche ramosa,B Bouizgarne,2006,"Molecular plant-microbe interactions 19 (5), 550-556, 2006",Molecular plant-microbe interactions,19,5,550-556
Efficacy of phosphate solubilizing Actinobacteria to improve rock phosphate agronomic effectiveness and plant growth promotion,A Soumare,2021,"Rhizosphere 17, 100284, 2021",Rhizosphere,17,,100284
Artemia salina as a new index for assessment of acute cytotoxicity during co-composting of sewage sludge and lignocellulose waste,L El Fels,2016,"Waste management 50, 194-200, 2016",Waste management,50,,194-200
Purification of antibiotics from the biocontrol agent Streptomyces anulatus S37 by centrifugal partition chromatography,O Couillerot,2014,"Journal of Chromatography B 944, 30-34, 2014",Journal of Chromatography B,944,,30-34
Genetic structure and core collection of the World Olive Germplasm Bank of Marrakech: towards the optimised management and use of Mediterranean olive genetic resources,H Haouane,2011,"Genetica 139, 1083-1094, 2011",Genetica,139,,1083-1094
Induction of natural defence accompanied by salicylic acid-dependant systemic acquired resistance in tomato seedlings in response to bioelicitors isolated from green algae,C El Modafar,2012,"Scientia Horticulturae 138, 55-63, 2012",Scientia Horticulturae,138,,55-63
"Arbuscular Mycorrhizal Fungi Mediate Drought Tolerance and Recovery in Two Contrasting Carob (Ceratonia siliqua L.) Ecotypes by Regulating Stomatal, Water …",A Boutasknit,2020,"Plants 9 (1), 80, 2020",Plants,9,1,80
Cell wall-bound phenolic acid and lignin contents in date palm as related to its resistance to Fusarium oxysporum,C El Modafar,2001,"Biologia plantarum 44 (1), 125-130, 2001",Biologia plantarum,44,1,125-130
Induction of natural defense and protection against Penicillium expansum and Botrytis cinerea in apple fruit in response to bioelicitors isolated from green algae,E Abouraïcha,2015,"Scientia Horticulturae 181, 121-128, 2015",Scientia Horticulturae,181,,121-128
Seaweed polysaccharides as bio-elicitors of natural defenses in olive trees against verticillium wilt of olive,I Ben Salah,2018,"Journal of Plant Interactions 13 (1), 248-255, 2018",Journal of Plant Interactions,13,1,248-255
Inoculation of Platanus acerifolia with Ceratocystis fimbriata f. sp. platani induces scopoletin and umbelliferone accumulation,C El Modafar,1993,"Phytochemistry 34 (5), 1271-1276, 1993",Phytochemistry,34,5,1271-1276
Mechanisms of date palm resistance to Bayoud disease: Current state of knowledge and research prospects,C El Modafar,2010,"Physiological and Molecular Plant Pathology 74 (5-6), 287-294, 2010",Physiological and Molecular Plant Pathology,74,5-6,287-294
Phenolic compounds in date palm cultivars sensitive and resistant toFusarium oxysporum,A Ziouti,1996,"Biologia Plantarum 38, 451-457, 1996",Biologia Plantarum,38,,451-457
Changes in Cell Wall‐bound Phenolic Compounds and Lignin in Roots of Date Palm Cultivars Differing in Susceptibility to Fusarium oxysporum f. sp. albedinis,CE Modafar,2000,"Journal of Phytopathology 148 (7-8), 405-411, 2000",Journal of Phytopathology,148,7-8,405-411
Differential induction of phenylalanine ammonia-lyase activity in date palm roots in response to inoculation with Fusarium oxysporum f. sp. albedinis and to elicitation with …,C El Modafar,2001,"Journal of Plant Physiology 158 (6), 715-722, 2001",Journal of Plant Physiology,158,6,715-722
Physiological and biochemical traits of drought tolerance in Argania spinosa,A Chakhchar,2015,"Journal of Plant Interactions 10 (1), 252-261, 2015",Journal of Plant Interactions,10,1,252-261
Changes in antioxidant activities and phenol content in tomato plants subjected to partial root drying and regulated deficit irrigation,H Tahi,2008,"Plant Biosystems-An International Journal Dealing with all Aspects of Plant …, 2008","Plant Biosystems-An International Journal Dealing with all Aspects of Plant …,",,,
Effect of arbuscular mycorrhizal fungi and phosphate-solubilizing bacteria consortia associated with phospho-compost on phosphorus solubilization and growth of tomato seedlings …,S El Maaloum,2020,"Communications in Soil Science and Plant Analysis 51 (5), 622-634, 2020",Communications in Soil Science and Plant Analysis,51,5,622-634
"Leaf water status, osmoregulation and secondary metabolism as a model for depicting drought tolerance in Argania spinosa",A Chakhchar,2015,"Acta Physiologiae Plantarum 37, 1-16, 2015",Acta Physiologiae Plantarum,37,,1-16
Construction of a genetic linkage map for the olive based on AFLP and SSR markers,AZE Aabidine,2010,"Crop science 50 (6), 2291-2302, 2010",Crop science,50,6,2291-2302
Assemblage of indigenous arbuscular mycorrhizal fungi and green waste compost enhance drought stress tolerance in carob (Ceratonia siliqua L.) trees,A Boutasknit,2021,"Scientific Reports 11 (1), 22835, 2021",Scientific Reports,11,1,22835
Use of alginate extracted from Moroccan brown algae to stimulate natural defense in date palm roots,S Bouissil,2020,"Molecules 25 (3), 720, 2020",Molecules,25,3,720
Differential physiological and antioxidative responses to drought stress and recovery among four contrasting Argania spinosa ecotypes,A Chakhchar,2016,"Journal of Plant Interactions 11 (1), 30-40, 2016",Journal of Plant Interactions,11,1,30-40
"Evaluation of the nutrients cycle, humification process, and agronomic efficiency of organic wastes composting enriched with phosphate sludge",A Haouas,2021,"Journal of Cleaner Production 302, 127051, 2021",Journal of Cleaner Production,302,,127051
Physico-chemical properties of nanocrystalline apatites: implications for biominerals and biomaterials,C Rey,2007,"Materials Science and engineering: C 27 (2), 198-205, 2007",Materials Science and engineering: C,27,2,198-205
Hydroxyapatite crystals as a local delivery system for cisplatin: adsorption and release of cisplatin in vitro,A Barroug,2002,"Journal of orthopaedic research 20 (2), 274-280, 2002",Journal of orthopaedic research,20,2,274-280
"Removal of the herbicide 2, 4-dichlorophenoxyacetate from water to zinc–aluminium–chloride layered double hydroxides",A Legrouri,2005,"Water Research 39 (15), 3441-3448, 2005",Water Research,39,15,3441-3448
Ion exchange of different phosphate ions into the zinc–aluminium–chloride layered double hydroxide,M Badreddine,1999,"Materials Letters 38 (6), 391-395, 1999",Materials Letters,38,6,391-395
Interactions of cisplatin with calcium phosphate nanoparticles: in vitro controlled adsorption and release,A Barroug,2004,"Journal of Orthopaedic Research 22 (4), 703-708, 2004",Journal of Orthopaedic Research,22,4,703-708
"Preparation of a new stable hybrid material by chloride–2, 4-dichlorophenoxyacetate ion exchange into the zinc–aluminium–chloride layered double hydroxide",M Lakraimi,2000,"Journal of Materials Chemistry 10 (4), 1007-1011, 2000",Journal of Materials Chemistry,10,4,1007-1011
"Nuclear magnetic resonance spin‐spin relaxation of the crystals of bone, dental enamel, and synthetic hydroxyapatites",Y Wu,2002,"Journal of Bone and Mineral Research 17 (3), 472-480, 2002",Journal of Bone and Mineral Research,17,3,472-480
"Nanocrystalline apatites in biological systems: characterisation, structure and properties",C Rey,2007,"Materialwissenschaft und Werkstofftechnik: Entwicklung, Fertigung, Prüfung …, 2007","Materialwissenschaft und Werkstofftechnik: Entwicklung, Fertigung, Prüfung …,",,,
Influence of pH on the synthesis of the Zn-Al-nitrate layered double hydroxide and the exchange of nitrate by phosphate ions,A Legrouri,1999,"Journal of materials science letters 18 (13), 1077-1080, 1999",Journal of materials science letters,18,13,1077-1080
"Infrared, Raman and NMR investigations of risedronate adsorption on nanocrystalline apatites",F Errassifi,2014,"Journal of colloid and interface science 420, 101-111, 2014",Journal of colloid and interface science,420,,101-111
Adsorption of catalase on hydroxyapatite,A Barroug,1998,"Journal of colloid and interface science 208 (1), 147-152, 1998",Journal of colloid and interface science,208,1,147-152
Adsorption of O-phospho-L-serine and L-serine onto poorly crystalline apatite,L Benaziz,2001,"Journal of Colloid and Interface Science 238 (1), 48-53, 2001",Journal of Colloid and Interface Science,238,1,48-53
Use of the ion-exchange properties of layered double hydroxides for water purification,B Houri,1998,"Collection of Czechoslovak chemical communications 63 (5), 732-740, 1998",Collection of Czechoslovak chemical communications,63,5,732-740
Adsorption of bovine serum albumin on poorly crystalline apatite: influence of maturation,S Ouizat,1999,"Materials research bulletin 34 (14-15), 2279-2289, 1999",Materials research bulletin,34,14-15,2279-2289
Adsorption of succinylated lysozyme on hydroxyapatite,A Barroug,1997,"Journal of colloid and interface science 189 (1), 37-42, 1997",Journal of colloid and interface science,189,1,37-42
Adsorption on apatitic calcium phosphates for drug delivery: interaction with bisphosphonate molecules,P Pascaud,2014,"Journal of Materials Science: Materials in Medicine 25, 2373-2381, 2014",Journal of Materials Science: Materials in Medicine,25,,2373-2381
Removal of chromate ions from water by anionicc clays,B Houri,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 455-463, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,455-463
"Medical potentialities of biomimetic apatites through adsorption, ionic substitution, and mineral/organic associations: three illustrative examples",A Al‐Kattan,2010,"Advanced Engineering Materials 12 (7), B224-B233, 2010",Advanced Engineering Materials,12,7,B224-B233
Chloride-hydrogenophosphate ion exchange into the zinc–aluminium–chloride layered double hydroxide,M Badreddine,1998,"Materials chemistry and physics 52 (3), 235-239, 1998",Materials chemistry and physics,52,3,235-239
Removal of pesticides from water by anionic clays,M Lakraimi,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 470-478, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,470-478
Phenolic profile and antioxidant activities of olive mill wastewater,A El-Abbassi,2011,"Food Chemistry 132 (1), 406–412, 2011",Food Chemistry,132,1,406–412
Integrated direct contact membrane distillation for olive mill wastewater treatment,A El-Abbassi,2013,"Desalination 323, 31-38, 2013",Desalination,323,,31-38
Olive oil production sector: Environmental effects and sustainability challenges,S Souilem,2017,"Olive mill waste, 1-28, 2017","Olive mill waste,",1-28,,
Micellar enhanced ultrafiltration process for the treatment of olive mill wastewater,A El-Abbassi,2011,"Water research 45 (15), 4522–4530, 2011",Water research,45,15,4522–4530
Concentration of olive mill wastewater by membrane distillation for polyphenols recovery,A El-Abbassi,2009,"Desalination 245 (1-3), 670-674, 2009",Desalination,245,1-3,670-674
Potential applications of olive mill wastewater as biopesticide for crops protection,A El-Abbassi,2017,"Science of the Total Environment 576, 10-21, 2017",Science of the Total Environment,576,,10-21
"Detailed study of Brazil nut (Bertholletia excelsa) oil micro-compounds: phospholipids, tocopherols and sterols",T Chunhieng,2008,"Journal of the Brazilian Chemical Society 19 (7), 1374-1380, 2008",Journal of the Brazilian Chemical Society,19,7,1374-1380
Membrane-based simultaneous degumming and deacidification of vegetable oils,A Hafidi,2005,"Innovative Food Science & Emerging Technologies 6 (2), 203-212, 2005",Innovative Food Science & Emerging Technologies,6,2,203-212
Treatment of olive mill wastewater by membrane distillation using polytetrafluoroethylene membranes,A El-Abbassi,2012,"Separation and Purification Technology 98, 55–61, 2012",Separation and Purification Technology,98,,55–61
Application of ultrafiltration for olive processing wastewaters treatment,A El-Abbassi,2014,"Journal of Cleaner Production 65, 432-438, 2014",Journal of Cleaner Production,65,,432-438
Chemical composition changes in four green olive cultivars during spontaneous fermentation,H Kiai,2014,"LWT-Food science and Technology 57 (2), 663-670, 2014",LWT-Food science and Technology,57,2,663-670
Application of membrane distillation technology in the treatment of table olive wastewaters for phenolic compounds concentration and high quality water production,H Kiai,2014,"Chemical Engineering and Processing: Process Intensification 86, 153-161, 2014",Chemical Engineering and Processing: Process Intensification,86,,153-161
Olive mill waste: recent advances for sustainable management,CM Galanakis,2016,"Academic Press, 2016","Academic Press,",,,
Treatment of crude olive mill wastewaters by osmotic distillation and osmotic membrane distillation,A El-Abbassi,2013,"Separation and purification technology 104, 327-332, 2013",Separation and purification technology,104,,327-332
Cloud point extraction of phenolic compounds from pretreated olive mill wastewater,A El-Abbassi,2014,"Journal of Environmental Chemical Engineering 2 (3), 1480-1486, 2014",Journal of Environmental Chemical Engineering,2,3,1480-1486
Assessment of the antioxidant and antibacterial activities of different olive processing wastewaters,M Belaqziz,2017,"PLoS One 12 (9), e0182622, 2017",PLoS One,12,9,e0182622
Effect of maturity and environmental conditions on chemical composition of olive oils of introduced cultivars in Morocco,S El Qarnifa,2019,"Journal of Food Quality 2019, 1-14, 2019",Journal of Food Quality,2019,,1-14
Molecular characterization and genetic relationships among most common identified morphotypes of critically endangered rare Moroccan species Argania spinosa (Sapotaceae) using …,K Majourhat,2008,"Annals of Forest Science 65 (8), 1, 2008",Annals of Forest Science,65,8,1
Challenges for drought assessment in the Mediterranean region under future climate scenarios,Y Tramblay,2020,"Earth-Science Reviews 210, 103348, 2020",Earth-Science Reviews,210,,103348
Assessment of soil contamination around an abandoned mine in a semi-arid environment using geochemistry and geostatistics: pre-work of geochemical process modeling with …,A Khalil,2013,"Journal of Geochemical Exploration 125, 117-129, 2013",Journal of Geochemical Exploration,125,,117-129
Assessment of daily MODIS snow cover products to monitor snow cover dynamics over the Moroccan Atlas mountain range,A Marchane,2015,"Remote Sensing of Environment 160, 72-86, 2015",Remote Sensing of Environment,160,,72-86
"Climate change impacts on surface water resources in the Rheraya catchment (High Atlas, Morocco)",A Marchane,2017,"Hydrological sciences journal 62 (6), 979-995, 2017",Hydrological sciences journal,62,6,979-995
Different sensitivities of snowpacks to warming in Mediterranean climate mountain areas,JI López-Moreno,2017,"Environmental Research Letters 12 (7), 074006, 2017",Environmental Research Letters,12,7,074006
Evaluation of the snowmelt runoff model in the Moroccan High Atlas Mountains using two snow-cover estimates,A Boudhar,2009,"Hydrological sciences journal 54 (6), 1094-1113, 2009",Hydrological sciences journal,54,6,1094-1113
Earth Observation products for operational irrigation management in the context of the PLEIADeS project,G D’Urso,2010,"Agricultural water management 98 (2), 271-282, 2010",Agricultural water management,98,2,271-282
Evaluation of TRMM 3B42 V7 Rainfall Product over the Oum Er Rbia Watershed in Morocco,MREMAC Hamza Ouatiki,2017,"Climate 5 (1), 2017",Climate,5,1,
Future scenarios of surface water resources availability in North African dams,Y Tramblay,2018,"Water Resources Management 32, 1291-1306, 2018",Water Resources Management,32,,1291-1306
A combined high and low spatial resolution approach for mapping snow covered areas in the Atlas mountains,A Chaponniere,2005,"International Journal of Remote Sensing 26 (13), 2755-2777, 2005",International Journal of Remote Sensing,26,13,2755-2777
GIS-based environmental database for assessing the mine pollution: A case study of an abandoned mine site in Morocco,A Khalil,2014,"Journal of Geochemical Exploration 144, 468-477, 2014",Journal of Geochemical Exploration,144,,468-477
Evaluation of satellite-based rainfall products for hydrological modelling in Morocco,Y Tramblay,2016,"Hydrological sciences journal 61 (14), 2509-2519, 2016",Hydrological sciences journal,61,14,2509-2519
Trends in flow intermittence for European rivers,Y Tramblay,2021,"Hydrological Sciences Journal 66 (1), 37-49, 2021",Hydrological Sciences Journal,66,1,37-49
Energy fluxes and melt rate of a seasonal snow cover in the Moroccan High Atlas,A Boudhar,2016,"Hydrological Sciences Journal 61 (5), 931-943, 2016",Hydrological Sciences Journal,61,5,931-943
Long-term analysis of snow-covered area in the Moroccan High-Atlas through remote sensing,A Boudhar,2010,"International Journal of Applied Earth Observation and Geoinformation 12 …, 2010",International Journal of Applied Earth Observation and Geoinformation,12 …,,
Isotopic signatures for the assessment of snow water resources in the Moroccan high Atlas mountains: contribution to surface and groundwater recharge,AB N’da,2016,"Environmental Earth Sciences 75, 1-11, 2016",Environmental Earth Sciences,75,,1-11
Effect of digital elevation model resolution on the simulation of the snow cover evolution in the High Atlas,MW Baba,2019,"Water Resources Research 55 (7), 5360-5378, 2019",Water Resources Research,55,7,5360-5378
"An efficient and reusable heterogeneous catalyst animal bone meal for facile synthesis of benzimidazoles, benzoxazoles, and benzothiazoles",Y Riadi,2011,"Tetrahedron letters 52 (27), 3492-3495, 2011",Tetrahedron letters,52,27,3492-3495
Removal of two textile dyes from aqueous solutions onto calcined bones,M El Haddad,2013,"Journal of the Association of Arab Universities for Basic and Applied …, 2013","Journal of the Association of Arab Universities for Basic and Applied …,",,,
Use of response factorial design for process optimization of basic dye adsorption onto activated carbon derived from Persea species,A Regti,2017,"Microchemical Journal 130, 129-136, 2017",Microchemical Journal,130,,129-136
"Calcined eggshells as a new biosorbent to remove basic dye from aqueous solutions: thermodynamics, kinetics, isotherms and error analysis",R Slimani,2014,"Journal of the Taiwan Institute of Chemical Engineers 45 (4), 1578-1587, 2014",Journal of the Taiwan Institute of Chemical Engineers,45,4,1578-1587
"Removal of Basic Fuchsin dye from water using mussel shell biomass waste as an adsorbent: Equilibrium, kinetics, and thermodynamics",M El Haddad,2016,"Journal of Taibah University for Science 10 (5), 664-674, 2016",Journal of Taibah University for Science,10,5,664-674
Calcined mussel shells as a new and eco-friendly biosorbent to remove textile dyes from aqueous solutions,M El Haddad,2014,"Journal of the Taiwan Institute of Chemical Engineers 45 (2), 533-540, 2014",Journal of the Taiwan Institute of Chemical Engineers,45,2,533-540
Use of Fenton reagent as advanced oxidative process for removing textile dyes from aqueous solutions,M El Haddad,2014,"J Mater Environ Sci 5 (3), 667-674, 2014",J Mater Environ Sci,5,3,667-674
Removal of a cationic dye–Basic Red 12–from aqueous solution by adsorption onto animal bone meal,M El Haddad,2012,"Journal of the Association of Arab Universities for Basic and Applied …, 2012","Journal of the Association of Arab Universities for Basic and Applied …,",,,
Assessment of the biosorption kinetic and thermodynamic for the removal of safranin dye from aqueous solutions using calcined mussel shells,M El Haddad,2014,"Journal of Industrial and Engineering Chemistry 20 (2), 717-724, 2014",Journal of Industrial and Engineering Chemistry,20,2,717-724
Animal bone meal as an efficient catalyst for crossed-aldol condensation,Y Riadi,2010,"Tetrahedron Letters 51 (51), 6715-6717, 2010",Tetrahedron Letters,51,51,6715-6717
Experimental and theoretical study using DFT method for the competitive adsorption of two cationic dyes from wastewaters,A Regti,2016,"Applied Surface Science 390, 311-319, 2016",Applied Surface Science,390,,311-319
Evaluation of potential capability of calcined bones on the biosorption removal efficiency of safranin as cationic dye from aqueous solutions,M El Haddad,2013,"Journal of the Taiwan Institute of Chemical Engineers 44 (1), 13-18, 2013",Journal of the Taiwan Institute of Chemical Engineers,44,1,13-18
Insight into adsorption mechanism of Congo red dye onto Bombax Buonopozense bark Activated-carbon using Central composite design and DFT studies,Y Achour,2021,"Surfaces and interfaces 23, 100977, 2021",Surfaces and interfaces,23,,100977
Potential use of activated carbon derived from Persea species under alkaline conditions for removing cationic dye from wastewaters,A Regti,2017,"Journal of the Association of Arab Universities for Basic and Applied …, 2017","Journal of the Association of Arab Universities for Basic and Applied …,",,,
Competitive adsorption and optimization of binary mixture of textile dyes: A factorial design analysis,A Regti,2017,"Journal of the Association of Arab Universities for Basic and Applied …, 2017","Journal of the Association of Arab Universities for Basic and Applied …,",,,
Removal of a cationic dye-Methylene Blue-from aqueous media by the use of animal bone meal as a new low cost adsorbent,R Slimani,2011,"J. Mater. Environ. Sci 2 (1), 77-87, 2011",J. Mater. Environ. Sci,2,1,77-87
Removal of Basic Blue 41 dyes using Persea americana-activated carbon prepared by phosphoric acid action,A Regti,2017,"International Journal of Industrial Chemistry 8, 187-195, 2017",International Journal of Industrial Chemistry,8,,187-195
"Selective and competitive removal of three basic dyes from single, binary and ternary systems in aqueous solutions: A combined experimental and theoretical study",A El Kassimi,2020,"Journal of Saudi Chemical Society 24 (7), 527-544, 2020",Journal of Saudi Chemical Society,24,7,527-544
Adsorptive removal of anionic dye from aqueous solutions using powdered and calcined vegetables wastes as low-cost adsorbent,EK Aziz,2018,"Arab Journal of Basic and Applied Sciences 25 (3), 93-102, 2018",Arab Journal of Basic and Applied Sciences,25,3,93-102
Evaluation of performance of animal bone meal as a new low cost adsorbent for the removal of a cationic dye Rhodamine B from aqueous solutions,M El Haddad,2016,"Journal of Saudi Chemical Society 20, S53-S59, 2016",Journal of Saudi Chemical Society,20,,S53-S59
Molecular identification of commercialized medicinal plants in Southern Morocco,A Kool,2012,"PloS one 7 (6), e39459, 2012",PloS one,7,6,e39459
"Chemical composition, antioxidant and antimicrobial activities of essential oils obtained from wild and cultivated Moroccan Thymus species",L El Bouzidi,2013,"Industrial Crops and Products 43, 450-456, 2013",Industrial Crops and Products,43,,450-456
Chemical characterization and antifungal activities of four Thymus species essential oils against postharvest fungal pathogens of citrus,H Boubaker,2016,"Industrial Crops and Products 86, 95-101, 2016",Industrial Crops and Products,86,,95-101
"Salt stress effects on germination, growth and essential oil content of an endemic thyme species in Morocco (Thymus maroccanus Ball.).",R Belaqziz,2009,"Journal of applied sciences research, 858-863, 2009","Journal of applied sciences research,",858-863,,
Physico-chemical characterization and effects of olive oil mill wastewaters fertirrigation on growth of some mediterranean crops,A El Hadrami,2004,"Agronomy Journal 3, 247-254, 2004",Agronomy Journal,3,,247-254
Chemical Composition and Antioxidant and Anticandidal Activities of Essential Oils from Different Wild Moroccan Thymus Species,CA Jamali,2012,"Chemistry & biodiversity 9 (6), 1188-1197, 2012",Chemistry & biodiversity,9,6,1188-1197
Antioxidant activity and evidence for synergism of Cannabis sativa (L.) essential oil with antimicrobial standards,A Nafis,2019,"Industrial Crops and Products 137, 396-400, 2019",Industrial Crops and Products,137,,396-400
Phenological changes to the chemical composition and biological activity of the essential oil from Moroccan endemic thyme (Thymus maroccanus Ball),CA Jamali,2013,"Industrial Crops and Products 49, 366-372, 2013",Industrial Crops and Products,49,,366-372
Antioxidative activity and synergistic effect of Thymus saturejoides Coss. essential oils with cefixime against selected food-borne bacteria,A Kasrati,2014,"Industrial Crops and Products 61, 338-344, 2014",Industrial Crops and Products,61,,338-344
"Assessment of the Food Habits of the Moroccan Dorcas Gazelle in M’Sabih Talaa, West Central Morocco, Using the trnL Approach",MA Ait Baamrane,2012,"PLoS One 7 (4), e35643, 2012",PLoS One,7,4,e35643
DNA barcoding reveals limited accuracy of identifications based on folk taxonomy,HJ De Boer,2014,"PLoS One 9 (1), e84291, 2014",PLoS One,9,1,e84291
"Essential oil composition, antioxidant and antibacterial activities of wild and cultivated Lavandula mairei Humbert",A El Hamdaoui,2018,"Biochemical Systematics and Ecology 76, 1-7, 2018",Biochemical Systematics and Ecology,76,,1-7
Botanical identification of medicinal roots collected and traded in Morocco and comparison to the existing literature,A Ouarghidi,2013,"Journal of ethnobiology and ethnomedicine 9 (1), 1-13, 2013",Journal of ethnobiology and ethnomedicine,9,1,1-13
Comparative evaluation of antioxidant and insecticidal properties of essential oils from five Moroccan aromatic herbs,A Kasrati,2015,"Journal of food science and technology 52, 2312-2319, 2015",Journal of food science and technology,52,,2312-2319
Species substitution in medicinal roots and possible implications for toxicity of herbal remedies in Morocco,A Ouarghidi,2012,"Economic botany 66, 370-382, 2012",Economic botany,66,,370-382
Chenopodium ambrosioides var. ambrosioides used in Moroccan traditional medicine can enhance the antimicrobial activity of conventional antibiotics,MAS Brahim,2015,"Industrial Crops and products 71, 37-43, 2015",Industrial Crops and products,71,,37-43
Germination responses of the Mediterranean saltbush (Atriplex halimus L.) to NaCl treatment,A Abbad,2004,"Journal of Agronomy (Pakistan) 3 (2), 2004",Journal of Agronomy (Pakistan),3,2,
Chemical Characterization and Insecticidal Properties of Essential Oils from Different Wild Populations of Mentha suaveolens subsp. timija (Briq.) Harley from …,A Kasrati,2015,"Chemistry & Biodiversity 12 (5), 823-831, 2015",Chemistry & Biodiversity,12,5,823-831
"Chemical composition, antioxidant and insecticidal properties of essential oils from wild and cultivated Salvia aucheri subsp. blancoana (Webb. & Helder)), an endemic …",MEA Khiyari,2014,"Industrial Crops and Products 57, 106-109, 2014",Industrial Crops and Products,57,,106-109
"Chemical composition, antimicrobial activities and synergistic effects of essential oil from Senecio anteuphorbium, a Moroccan endemic plant",N Elhidar,2019,"Industrial crops and products 130, 310-315, 2019",Industrial crops and products,130,,310-315
"Glyphosate based-herbicide exposure affects gut microbiota, anxiety and depression-like behaviors in mice",Y Aitbali,2018,"Neurotoxicology and teratology 67, 44-49, 2018",Neurotoxicology and teratology,67,,44-49
"Effects of single cage housing on stress, cognitive, and seizure parameters in the rat and mouse pilocarpine models of epilepsy",H Manouze,2019,"Eneuro 6 (4), 2019",Eneuro,6,4,
The absence of melanopsin alters retinal clock function and dopamine regulation by light,O Dkhissi-Benyahya,2013,"Cellular and molecular life sciences 70, 3435-3447, 2013",Cellular and molecular life sciences,70,,3435-3447
Behavioral and immunohistochemical study of the effects of subchronic and chronic exposure to glyphosate in mice,Y Ait Bali,2017,"Frontiers in Behavioral Neuroscience 11, 146, 2017",Frontiers in Behavioral Neuroscience,11,,146
Learning and memory impairments associated to acetylcholinesterase inhibition and oxidative stress following glyphosate based-herbicide exposure in mice,YA Bali,2019,"Toxicology 415, 18-25, 2019",Toxicology,415,,18-25
Evaluation of the developmental toxicity of the aqueous extract from Trigonella foenum-graecum (L.) in mice,L Khalki,2010,"Journal of ethnopharmacology 131 (2), 321-325, 2010",Journal of ethnopharmacology,131,2,321-325
"Anti-inflammatory, Antinociceptive, and Antioxidant Activities of Methanol and Aqueous Extracts of Anacyclus pyrethrum Roots",H Manouze,2017,"Frontiers in pharmacology 8, 598, 2017",Frontiers in pharmacology,8,,598
Neonatal 6-OHDA lesion model in mouse induces Attention-Deficit/Hyperactivity Disorder (ADHD)-like behaviour,O Bouchatta,2018,"Scientific reports 8 (1), 15349, 2018",Scientific reports,8,1,15349
Pre-and postnatal exposure to glyphosate-based herbicide causes behavioral and cognitive impairments in adult mice: Evidence of cortical ad hippocampal dysfunction,Y Ait-Bali,2020,"Archives of toxicology 94, 1703-1723, 2020",Archives of toxicology,94,,1703-1723
Distribution of GABA immunoreactive systems in the forebrain and midbrain of the chameleon,M Bennis,1991,"Brain research bulletin 26 (6), 891-898, 1991",Brain research bulletin,26,6,891-898
Role of the calcium modulated cyclases in the development of the retinal projections,X Nicol,2006,"European Journal of Neuroscience 24 (12), 3401-3414, 2006",European Journal of Neuroscience,24,12,3401-3414
Existence of a GnRH immunoreactive nucleus in the dorsal midbrain tegmentum of the chameleon,M Bennis,1989,"General and comparative endocrinology 75 (2), 195-203, 1989",General and comparative endocrinology,75,2,195-203
