Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
"Infrared, Raman and NMR investigations of risedronate adsorption on nanocrystalline apatites",Biotechnology,2014,"Journal of colloid and interface science 420, 101-111, 2014",Journal of colloid and interface science,420,,101111
"Infrared, Raman and NMR investigations of risedronate adsorption on nanocrystalline apatites",Mathematics and Computational Sciences,2014,"Journal of colloid and interface science 420, 101-111, 2014",Journal of colloid and interface science,420,,101111
Adsorption of catalase on hydroxyapatite,Biotechnology,1998,"Journal of colloid and interface science 208 (1), 147-152, 1998",Journal of colloid and interface science,208,1,147152
Adsorption of catalase on hydroxyapatite,Mathematics and Computational Sciences,1998,"Journal of colloid and interface science 208 (1), 147-152, 1998",Journal of colloid and interface science,208,1,147152
Use of the ion-exchange properties of layered double hydroxides for water purification,Biotechnology,1998,"Collection of Czechoslovak chemical communications 63 (5), 732-740, 1998",Collection of Czechoslovak chemical communications,63,5,732740
Use of the ion-exchange properties of layered double hydroxides for water purification,Mathematics and Computational Sciences,1998,"Collection of Czechoslovak chemical communications 63 (5), 732-740, 1998",Collection of Czechoslovak chemical communications,63,5,732740
Adsorption of O-phospho-L-serine and L-serine onto poorly crystalline apatite,Biotechnology,2001,"Journal of Colloid and Interface Science 238 (1), 48-53, 2001",Journal of Colloid and Interface Science,238,1,4853
Adsorption of O-phospho-L-serine and L-serine onto poorly crystalline apatite,Mathematics and Computational Sciences,2001,"Journal of Colloid and Interface Science 238 (1), 48-53, 2001",Journal of Colloid and Interface Science,238,1,4853
Adsorption of bovine serum albumin on poorly crystalline apatite: influence of maturation,Biotechnology,1999,"Materials research bulletin 34 (14-15), 2279-2289, 1999",Materials research bulletin,34,1415,22792289
Adsorption of bovine serum albumin on poorly crystalline apatite: influence of maturation,Mathematics and Computational Sciences,1999,"Materials research bulletin 34 (14-15), 2279-2289, 1999",Materials research bulletin,34,1415,22792289
Adsorption of succinylated lysozyme on hydroxyapatite,Biotechnology,1997,"Journal of colloid and interface science 189 (1), 37-42, 1997",Journal of colloid and interface science,189,1,3742
Adsorption of succinylated lysozyme on hydroxyapatite,Mathematics and Computational Sciences,1997,"Journal of colloid and interface science 189 (1), 37-42, 1997",Journal of colloid and interface science,189,1,3742
Adsorption on apatitic calcium phosphates for drug delivery: interaction with bisphosphonate molecules,Biotechnology,2014,"Journal of Materials Science: Materials in Medicine 25, 2373-2381, 2014",Journal of Materials Science: Materials in Medicine,25,,23732381
Adsorption on apatitic calcium phosphates for drug delivery: interaction with bisphosphonate molecules,Mathematics and Computational Sciences,2014,"Journal of Materials Science: Materials in Medicine 25, 2373-2381, 2014",Journal of Materials Science: Materials in Medicine,25,,23732381
Removal of chromate ions from water by anionicc clays,Biotechnology,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 455-463, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,455463
Removal of chromate ions from water by anionicc clays,Mathematics and Computational Sciences,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 455-463, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,455463
"Medical potentialities of biomimetic apatites through adsorption, ionic substitution, and mineral/organic associations: three illustrative examples",Biotechnology,2010,"Advanced Engineering Materials 12 (7), B224-B233, 2010",Advanced Engineering Materials,12,7,224233
"Medical potentialities of biomimetic apatites through adsorption, ionic substitution, and mineral/organic associations: three illustrative examples",Mathematics and Computational Sciences,2010,"Advanced Engineering Materials 12 (7), B224-B233, 2010",Advanced Engineering Materials,12,7,224233
Chloride-hydrogenophosphate ion exchange into the zinc–aluminium–chloride layered double hydroxide,Biotechnology,1998,"Materials chemistry and physics 52 (3), 235-239, 1998",Materials chemistry and physics,52,3,235239
Chloride-hydrogenophosphate ion exchange into the zinc–aluminium–chloride layered double hydroxide,Mathematics and Computational Sciences,1998,"Materials chemistry and physics 52 (3), 235-239, 1998",Materials chemistry and physics,52,3,235239
Removal of pesticides from water by anionic clays,Biotechnology,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 470-478, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,470478
Removal of pesticides from water by anionic clays,Mathematics and Computational Sciences,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 470-478, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,470478
Low cost biosorbent “banana peel” for the removal of phenolic compounds from olive mill wastewater: Kinetic and equilibrium studies,Biotechnology,2009,"Journal of hazardous materials 166 (1), 117-125, 2009",Journal of hazardous materials,166,1,117125
Phenolic profile and antioxidant activities of olive mill wastewater,Biotechnology,2011,"Food Chemistry 132 (1), 406–412, 2011",Food Chemistry,132,1,406412
Integrated direct contact membrane distillation for olive mill wastewater treatment,Biotechnology,2013,"Desalination 323, 31-38, 2013",Desalination,323,,3138
Olive oil production sector: Environmental effects and sustainability challenges,Biotechnology,2017,"Olive mill waste, 1-28, 2017","Olive mill waste,",128,,
Micellar enhanced ultrafiltration process for the treatment of olive mill wastewater,Biotechnology,2011,"Water research 45 (15), 4522–4530, 2011",Water research,45,15,45224530
Concentration of olive mill wastewater by membrane distillation for polyphenols recovery,Biotechnology,2009,"Desalination 245 (1-3), 670-674, 2009",Desalination,245,13,670674
Potential applications of olive mill wastewater as biopesticide for crops protection,Biotechnology,2017,"Science of the Total Environment 576, 10-21, 2017",Science of the Total Environment,576,,1021
"Detailed study of Brazil nut (Bertholletia excelsa) oil micro-compounds: phospholipids, tocopherols and sterols",Biotechnology,2008,"Journal of the Brazilian Chemical Society 19 (7), 1374-1380, 2008",Journal of the Brazilian Chemical Society,19,7,13741380
Membrane-based simultaneous degumming and deacidification of vegetable oils,Biotechnology,2005,"Innovative Food Science & Emerging Technologies 6 (2), 203-212, 2005",Innovative Food Science & Emerging Technologies,6,2,203212
Treatment of olive mill wastewater by membrane distillation using polytetrafluoroethylene membranes,Biotechnology,2012,"Separation and Purification Technology 98, 55–61, 2012",Separation and Purification Technology,98,,5561
Application of ultrafiltration for olive processing wastewaters treatment,Biotechnology,2014,"Journal of Cleaner Production 65, 432-438, 2014",Journal of Cleaner Production,65,,432438
Chemical composition changes in four green olive cultivars during spontaneous fermentation,Biotechnology,2014,"LWT-Food science and Technology 57 (2), 663-670, 2014",LWT-Food science and Technology,57,2,663670
Application of membrane distillation technology in the treatment of table olive wastewaters for phenolic compounds concentration and high quality water production,Biotechnology,2014,"Chemical Engineering and Processing: Process Intensification 86, 153-161, 2014",Chemical Engineering and Processing: Process Intensification,86,,153161
Olive mill waste: recent advances for sustainable management,Biotechnology,2016,"Academic Press, 2016","Academic Press,",,,
Treatment of crude olive mill wastewaters by osmotic distillation and osmotic membrane distillation,Biotechnology,2013,"Separation and purification technology 104, 327-332, 2013",Separation and purification technology,104,,327332
Cloud point extraction of phenolic compounds from pretreated olive mill wastewater,Biotechnology,2014,"Journal of Environmental Chemical Engineering 2 (3), 1480-1486, 2014",Journal of Environmental Chemical Engineering,2,3,14801486
Removal of phenolic compounds from olive mill wastewater by adsorption onto wheat bran,Biotechnology,2014,"DESALINATION AND WATER TREATMENT 52 (13-15), 2875-2885, 2014",DESALINATION AND WATER TREATMENT,52,1315,28752885
Assessment of the antioxidant and antibacterial activities of different olive processing wastewaters,Biotechnology,2017,"PLoS One 12 (9), e0182622, 2017",PLoS One,12,9,0182622
Effect of maturity and environmental conditions on chemical composition of olive oils of introduced cultivars in Morocco,Biotechnology,2019,"Journal of Food Quality 2019, 1-14, 2019",Journal of Food Quality,2019,,114
Molecular characterization and genetic relationships among most common identified morphotypes of critically endangered rare Moroccan species Argania spinosa (Sapotaceae) using …,Biotechnology,2008,"Annals of Forest Science 65 (8), 1, 2008",Annals of Forest Science,65,8,1
Challenges for drought assessment in the Mediterranean region under future climate scenarios,Environmental Science,2020,"Earth-Science Reviews 210, 103348, 2020",Earth-Science Reviews,210,,103348
Assessment of soil contamination around an abandoned mine in a semi-arid environment using geochemistry and geostatistics: pre-work of geochemical process modeling with …,Environmental Science,2013,"Journal of Geochemical Exploration 125, 117-129, 2013",Journal of Geochemical Exploration,125,,117129
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,Environmental Science,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Assessment of daily MODIS snow cover products to monitor snow cover dynamics over the Moroccan Atlas mountain range,Environmental Science,2015,"Remote Sensing of Environment 160, 72-86, 2015",Remote Sensing of Environment,160,,7286
"Climate change impacts on surface water resources in the Rheraya catchment (High Atlas, Morocco)",Environmental Science,2017,"Hydrological sciences journal 62 (6), 979-995, 2017",Hydrological sciences journal,62,6,979995
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,Environmental Science,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Different sensitivities of snowpacks to warming in Mediterranean climate mountain areas,Environmental Science,2017,"Environmental Research Letters 12 (7), 074006, 2017",Environmental Research Letters,12,7,074006
Evaluation of the snowmelt runoff model in the Moroccan High Atlas Mountains using two snow-cover estimates,Environmental Science,2009,"Hydrological sciences journal 54 (6), 1094-1113, 2009",Hydrological sciences journal,54,6,10941113
Evaluation of TRMM 3B42 V7 Rainfall Product over the Oum Er Rbia Watershed in Morocco,Environmental Science,2017,"Climate 5 (1), 2017",Climate,5,1,
Earth Observation products for operational irrigation management in the context of the PLEIADeS project,Environmental Science,2010,"Agricultural water management 98 (2), 271-282, 2010",Agricultural water management,98,2,271282
Future scenarios of surface water resources availability in North African dams,Environmental Science,2018,"Water Resources Management 32, 1291-1306, 2018",Water Resources Management,32,,12911306
GIS-based environmental database for assessing the mine pollution: A case study of an abandoned mine site in Morocco,Environmental Science,2014,"Journal of Geochemical Exploration 144, 468-477, 2014",Journal of Geochemical Exploration,144,,468477
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,Environmental Science,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
A combined high and low spatial resolution approach for mapping snow covered areas in the Atlas mountains,Environmental Science,2005,"International Journal of Remote Sensing 26 (13), 2755-2777, 2005",International Journal of Remote Sensing,26,13,27552777
Evaluation of satellite-based rainfall products for hydrological modelling in Morocco,Environmental Science,2016,"Hydrological sciences journal 61 (14), 2509-2519, 2016",Hydrological sciences journal,61,14,25092519
Trends in flow intermittence for European rivers,Environmental Science,2021,"Hydrological Sciences Journal 66 (1), 37-49, 2021",Hydrological Sciences Journal,66,1,3749
Energy fluxes and melt rate of a seasonal snow cover in the Moroccan High Atlas,Environmental Science,2016,"Hydrological Sciences Journal 61 (5), 931-943, 2016",Hydrological Sciences Journal,61,5,931943
Long-term analysis of snow-covered area in the Moroccan High-Atlas through remote sensing,Environmental Science,2010,"International Journal of Applied Earth Observation and Geoinformation 12 …, 2010",International Journal of Applied Earth Observation and Geoinformation,12,,
Isotopic signatures for the assessment of snow water resources in the Moroccan high Atlas mountains: contribution to surface and groundwater recharge,Environmental Science,2016,"Environmental Earth Sciences 75, 1-11, 2016",Environmental Earth Sciences,75,,111
Effect of digital elevation model resolution on the simulation of the snow cover evolution in the High Atlas,Environmental Science,2019,"Water Resources Research 55 (7), 5360-5378, 2019",Water Resources Research,55,7,53605378
Microstructure and physical properties of lime-clayey adobe bricks,Mathematics and Computational Sciences,2008,"Construction and Building Materials 22 (12), 2386-2392, 2008",Construction and Building Materials,22,12,23862392
Mineralogy and firing characteristics of a clay from the valley of Ourika (Morocco),Mathematics and Computational Sciences,2002,"Applied Clay Science 21 (3-4), 203-212, 2002",Applied Clay Science,21,34,203212
Removal of methylene blue from aqueous solution by fibrous clay minerals,Mathematics and Computational Sciences,2006,"Journal of hazardous materials 135 (1-3), 188-192, 2006",Journal of hazardous materials,135,13,188192
Adsorption of methylene blue and zinc ions on raw and acid-activated bentonite from Morocco,Mathematics and Computational Sciences,2009,"Applied Clay Science 46 (4), 418-421, 2009",Applied Clay Science,46,4,418421
Chemical and mineralogical characterization of a clay taken from the Moroccan Meseta and a study of the interaction between its fine fraction and methylene blue,Mathematics and Computational Sciences,2001,"applied clay science 20 (1-2), 1-12, 2001",applied clay science,20,12,112
Phosphate sludge: thermal transformation and use as lightweight aggregate material,Mathematics and Computational Sciences,2013,"Journal of environmental management 130, 354-360, 2013",Journal of environmental management,130,,354360
"Physical properties, microstructure and mineralogy of termite mound material considered as construction materials",Mathematics and Computational Sciences,2011,"Applied Clay Science 52 (1-2), 160-164, 2011",Applied Clay Science,52,12,160164
A Chloritic-illitic clay from Morocco: Temperature–time–transformation and neoformation,Mathematics and Computational Sciences,2009,"Applied Clay Science 45 (1-2), 83-89, 2009",Applied Clay Science,45,12,8389
Effects of two mixtures of kaolin-talc-bauxite and firing temperatures on the characteristics of cordierite-based ceramics,Mathematics and Computational Sciences,2016,"Journal of Building Engineering 8, 99-106, 2016",Journal of Building Engineering,8,,99106
Effects of some processing factors on technical properties of a clay-based ceramic material,Mathematics and Computational Sciences,2012,"Applied Clay Science 65, 106-113, 2012",Applied Clay Science,65,,106113
Cement-lateritic gravels mixtures: Microstructure and strength characteristics,Mathematics and Computational Sciences,2008,"Construction and building materials 22 (10), 2078-2086, 2008",Construction and building materials,22,10,20782086
Sintering mechanism and ceramic phases of an illitic–chloritic raw clay,Mathematics and Computational Sciences,2006,"Journal of the European Ceramic Society 26 (1-2), 161-167, 2006",Journal of the European Ceramic Society,26,12,161167
Effects of the experimental factors on the microstructure and the properties of cured alkali-activated heated clay,Mathematics and Computational Sciences,2015,"Applied Clay Science 116, 202-210, 2015",Applied Clay Science,116,,202210
Influence of NaOH concentration on microstructure and properties of cured alkali-activated calcined clay,Mathematics and Computational Sciences,2017,"Journal of Building Engineering 11, 158-165, 2017",Journal of Building Engineering,11,,158165
Evaluation of the simultaneous effects of firing cycle parameters on technological properties and ceramic suitability of a raw clay using the response surface methodology,Mathematics and Computational Sciences,2006,"Journal of the American Ceramic Society 89 (5), 1563-1567, 2006",Journal of the American Ceramic Society,89,5,15631567
"A calcareous clay from Tamesloht (Al Haouz, Morocco): Properties and thermal transformations",Mathematics and Computational Sciences,2011,"Applied clay science 51 (4), 507-510, 2011",Applied clay science,51,4,507510
Clay-calcite mixes: sintering and phase formation,Mathematics and Computational Sciences,2004,"British ceramic transactions 103 (1), 29-32, 2004",British ceramic transactions,103,1,2932
Dendrimers and hyper-branched polymers interacting with clays: fruitful associations for functional materials,Mathematics and Computational Sciences,2019,"Journal of Materials Chemistry A 7 (34), 19634-19650, 2019",Journal of Materials Chemistry A,7,34,1963419650
Microstructural characterisation and physical properties of cured thermally activated clay-lime blends,Mathematics and Computational Sciences,2012,"Construction and Building Materials 26 (1), 226-232, 2012",Construction and Building Materials,26,1,226232
Microstructural characterization and influence of manufacturing parameters on technological properties of vitreous ceramic materials,Mathematics and Computational Sciences,2010,"Materials characterization 61 (3), 289-295, 2010",Materials characterization,61,3,289295
Experimental and theoretical study of a humidification-dehumidification water desalination system using solar energy,Mathematics and Computational Sciences,2004,"Desalination 168, 151-159, 2004",Desalination,168,,151159
Experimental and numerical study of an earth-to-air heat exchanger for air cooling in a residential building in hot semi-arid climate,Mathematics and Computational Sciences,2016,"Energy and Buildings 125, 109-121, 2016",Energy and Buildings,125,,109121
Thermomechanical characterization of a bio-composite building material: Mortar reinforced with date palm fibers mesh,Mathematics and Computational Sciences,2017,"Construction and Building Materials 135, 241-250, 2017",Construction and Building Materials,135,,241250
Laminar mixed convection of humid air in a vertical channel with evaporation or condensation at the wall,Mathematics and Computational Sciences,2004,"International Journal of Thermal Sciences 43 (6), 531-539, 2004",International Journal of Thermal Sciences,43,6,531539
Moisture content influence on the thermal conductivity of insulating building materials made from date palm fibers mesh,Mathematics and Computational Sciences,2017,"Construction and Building Materials 148, 811-823, 2017",Construction and Building Materials,148,,811823
Buoyancy effects on upward and downward laminar mixed convection heat and mass transfer in a vertical channel,Mathematics and Computational Sciences,2007,"International Journal of Numerical Methods for Heat & Fluid Flow, 2007","International Journal of Numerical Methods for Heat & Fluid Flow,",,,
Experimental and numerical study of mixed convection heat and mass transfer in a vertical channel with film evaporation,Mathematics and Computational Sciences,2011,"International Journal of Thermal Sciences 50 (6), 942-953, 2011",International Journal of Thermal Sciences,50,6,942953
Thermal performance assessment of passive techniques integrated into a residential building in semi-arid climate,Mathematics and Computational Sciences,2017,"Energy and Buildings 143, 1-16, 2017",Energy and Buildings,143,,116
Stability and thermal conductivity enhancement of aqueous nanofluid based on surfactant-modified TiO2,Mathematics and Computational Sciences,2019,"Journal of Dispersion Science and Technology, 2019","Journal of Dispersion Science and Technology,",,,
Preparation and characterization of nano‐enhanced myristic acid using metal oxide nanoparticles for thermal energy storage,Mathematics and Computational Sciences,2019,"International journal of energy research 43 (14), 8592-8607, 2019",International journal of energy research,43,14,85928607
Energy performances of a passive building in Marrakech: parametric study,Mathematics and Computational Sciences,2013,"Energy procedia 42, 624-632, 2013",Energy procedia,42,,624632
Experimental assessment of thermal performance of three passive cooling techniques for roofs in a semi-arid climate,Mathematics and Computational Sciences,2018,"Energy and Buildings 164, 153-164, 2018",Energy and Buildings,164,,153164
Flow reversal in combined laminar mixed convection heat and mass transfer with phase change in a vertical channel,Mathematics and Computational Sciences,2010,"International journal of heat and fluid flow 31 (4), 711-721, 2010",International journal of heat and fluid flow,31,4,711721
Thermal characterization of a Tunisian gypsum plaster as construction material,Mathematics and Computational Sciences,2013,"Energy Procedia 42, 680-688, 2013",Energy Procedia,42,,680688
Thermal behavior and energy saving analysis of a flat with different energy efficiency measures in six climates,Mathematics and Computational Sciences,2018,"Building Simulation 11 (6), 1123-1144, 2018",Building Simulation,11,6,11231144
A numerical study of the longitudinal thermoconvective rolls in a mixed convection flow in a horizontal channel with a free surface,Mathematics and Computational Sciences,2013,"International journal of heat and fluid flow 42, 265-277, 2013",International journal of heat and fluid flow,42,,265277
Mixed Convection Heat and Mass Transfer with Phase Change and Flow Reversal in Channels,Mathematics and Computational Sciences,2011,"Chap. in Book ""Mass transfer in multiphase systems and its applications …, 2011","Chap. in Book ""Mass transfer in multiphase systems and its applications …,",,,
Combined buoyancy effects of thermal and mass diffusion on laminar convection in a vertical isothermal channel,Mathematics and Computational Sciences,2010,"Computational Thermal Sciences: An International Journal 2 (2), 2010",Computational Thermal Sciences: An International Journal,2,2,
Analysis for thermal behavior and energy savings of a semi-detached house with different insulation strategies in a hot semi-arid climate,Mathematics and Computational Sciences,2017,"Journal of Green Building 12 (1), 78-106, 2017",Journal of Green Building,12,1,78106
Mechanical and thermophysical properties of compressed earth brick rienforced by raw and treated doum fibers,Mathematics and Computational Sciences,2022,"Construction and Building Materials 318, 126031, 2022",Construction and Building Materials,318,,126031
Composition of pseudo almost periodic functions and Cauchy problems with operator of non dense domain,Mathematics and Computational Sciences,1999,"Annales Mathématiques Blaise Pascal 6 (1), 1-11, 1999",Annales Mathématiques Blaise Pascal,6,1,111
Feedback stabilization of a class of evolution equations with delay,Mathematics and Computational Sciences,2009,"Journal of Evolution Equations 9, 103-121, 2009",Journal of Evolution Equations,9,,103121
Almost periodicity of inhomogeneous parabolic evolution equations,Mathematics and Computational Sciences,2019,"Evolution equations, 299-318, 2019","Evolution equations,",299318,,
Almost periodic solutions to some semilinear non-autonomous thermoelastic plate equations,Mathematics and Computational Sciences,2009,"Journal of Mathematical Analysis and Applications 349 (1), 74-84, 2009",Journal of Mathematical Analysis and Applications,349,1,7484
Almost automorphic solutions for hyperbolic semilinear evolution equations,Mathematics and Computational Sciences,2005,"Semigroup Forum 71, 231-240, 2005",Semigroup Forum,71,,231240
Null controllability of degenerate parabolic cascade systems,Mathematics and Computational Sciences,2011,"Portugaliae Mathematica 68 (3), 345-367, 2011",Portugaliae Mathematica,68,3,345367
Null controllability for parabolic equations with dynamic boundary conditions,Mathematics and Computational Sciences,2017,"Evol. Equ. Control Theory 6 (3), 381-407, 2017",Evol. Equ. Control Theory,6,3,381407
Linear delay equations in the Lp-context,Mathematics and Computational Sciences,2019,"Evolution equations, 319-330, 2019","Evolution equations,",319330,,
Lipschitz stability for linear parabolic systems with interior degeneracy,Mathematics and Computational Sciences,2014,"Electron. J. Differential Equations 2014, 1-26, 2014",Electron. J. Differential Equations,2014,,126
Carleman estimates and null controllability of coupled degenerate systems,Mathematics and Computational Sciences,2011,"arXiv preprint arXiv:1111.3665, 2011",arXiv preprint arXiv:,11113665,,
Almost automorphy of semilinear parabolic evolution equations.,Mathematics and Computational Sciences,2008,"Electronic Journal of Differential Equations (EJDE)[electronic only] 2008 …, 2008",Electronic Journal of Differential Equations (EJDE)[electronic only],2008,,
Existence and uniqueness of C (n)-almost periodic solutions to some ordinary differential equations,Mathematics and Computational Sciences,2007,"Nonlinear Analysis: Theory, Methods & Applications 66 (9), 1899-1910, 2007","Nonlinear Analysis: Theory, Methods & Applications",66,9,18991910
Carleman estimates for parabolic equations with interior degeneracy and Neumann boundary conditions,Mathematics and Computational Sciences,2018,"Journal d'Analyse Mathématique 135, 1-35, 2018",Journal d'Analyse Mathématique,135,,135
Null controllability of a model in population dynamics,Mathematics and Computational Sciences,2014,"Electronic journal of differential equations 2014 (240), 1-20, 2014",Electronic journal of differential equations,2014,240,120
Extrapolation and inhornogeneous retarded differential equations on infinite dimensional spaces,Mathematics and Computational Sciences,1998,"Rendiconti del Circolo Matematico di Palermo 47, 331-346, 1998",Rendiconti del Circolo Matematico di Palermo,47,,331346
Regularity properties of perturbed Hille-Yosida operators and retarded differential equations,Mathematics and Computational Sciences,2001,"Semigroup Forum 64, 55-70, 2001",Semigroup Forum,64,,5570
Controllability of semilinear boundary problems with nonlocal initial conditions,Mathematics and Computational Sciences,2006,"Journal of mathematical analysis and applications 316 (2), 566-578, 2006",Journal of mathematical analysis and applications,316,2,566578
Null controllability of a population dynamics with degenerate diffusion,Mathematics and Computational Sciences,2013,,,,,
The asymptotic behavior of a population equation with diffusion and delayed birth process,Mathematics and Computational Sciences,2007,"Discrete and Continuous Dynamical Systems-B 7 (4), 735-754, 2007",Discrete and Continuous Dynamical Systems-B,7,4,735754
Existence and asymptotic behavior of solutions of semilinear Cauchy problems with non dense domain via extrapolation spaces,Mathematics and Computational Sciences,2000,"Rendiconti del Circolo Matematico di Palermo 49, 481-496, 2000",Rendiconti del Circolo Matematico di Palermo,49,,481496
Improved mechanical properties of k-carrageenan-based nanocomposite films reinforced with cellulose nanocrystals,Environmental Science,2019,"International Journal of Biological Macromolecules 123, 1248-1256, 2019",International Journal of Biological Macromolecules,123,,12481256
Synthesis and Toxicity of Graphene Oxide Nanoparticles: A Literature Review of In Vitro and In Vivo Studies,Environmental Science,2021,"BioMed Research International 2021, 19 pages, 2021",BioMed Research International,2021,,19
"Adsorption of crystal violet onto an agricultural waste residue: kinetics, isotherm, thermodynamics, and mechanism of adsorption",Environmental Science,2020,"The Scientific World Journal 2020, 2020",The Scientific World Journal,2020,,
"Accumulation and toxicological effects of cadmium, copper and zinc on the growth and photosynthesis of the freshwater diatom Planothidium lanceolatum (Brébisson) Lange-Bertalot",Environmental Science,2012,"Journal of Materials and Environmental Science 3 (3), 2012",Journal of Materials and Environmental Science,3,3,
Machine learning algorithms for efficient water quality prediction,Environmental Science,2022,"Modeling Earth Systems and Environment 8 (2), 2793-2801, 2022",Modeling Earth Systems and Environment,8,2,27932801
Reuse of treated wastewater in agriculture: solving water deficit problems in arid areas,Environmental Science,2014,"Annals of West University of Timisoara: Series of Biology 17 (2), 2014",Annals of West University of Timisoara: Series of Biology,17,2,
Antidiabetic potential of Caralluma europaea against alloxan-induced diabetes in mice,Environmental Science,2019,"Saudi journal of biological sciences 26 (6), 1171-1178, 2019",Saudi journal of biological sciences,26,6,11711178
Impact of fertilization by natural manure on the microbial quality of soil: Mo-lecular Approach,Environmental Science,2017,"Saudi Journal of Biological Sciences 24 (6), 1437-1443, 2017",Saudi Journal of Biological Sciences,24,6,14371443
Biotechnological approach of greywater treatment and reuse for landscape irrigation in small communities,Environmental Science,2019,"Saudi journal of biological sciences 26 (1), 83-90, 2019",Saudi journal of biological sciences,26,1,8390
Assessment of biogas and biofertilizer produced from anaerobic co-digestion of olive mill wastewater with municipal wastewater and cow dung,Environmental Science,2020,"Environmental Technology & Innovation 20, 101152, 2020",Environmental Technology & Innovation,20,,101152
Effect of plasticizers on physicochemical properties of cellulose nanocrystals filled alginate bionanocomposite films,Environmental Science,2018,"Advances in Polymer Technology 37 (8), 3171-3185, 2018",Advances in Polymer Technology,37,8,31713185
Review on cow manure as renewable energy,Environmental Science,2020,"Smart Village Technology: Concepts and Developments, 341-352, 2020","Smart Village Technology: Concepts and Developments,",341352,,
Inhibiting effect of textile wastewater on the activity of sludge from the biological treatment process of the activated sludge plant,Environmental Science,2019,"Saudi Journal of biological sciences 26 (7), 1753-1757, 2019",Saudi Journal of biological sciences,26,7,17531757
Inoculation with selected indigenous mycorrhizal complex improves Ceratonia siliqua’s growth and response to drought stress,Environmental Science,2021,"Saudi Journal of Biological Sciences 28 (1), 825-832, 2021",Saudi Journal of Biological Sciences,28,1,825832
Characteristics of cellulose microfibers and nanocrystals isolated from doum tree (Chamaerops humilis var. argentea),Environmental Science,2021,"Cellulose 28, 4089-4103, 2021",Cellulose,28,,40894103
Engineering of highly Brachychiton populneus shells@ polyaniline bio-sorbent for efficient removal of pesticides from wastewater: Optimization using BBD-RSM approach,Environmental Science,2022,"Journal of Molecular Liquids 346, 117092, 2022",Journal of Molecular Liquids,346,,117092
Pathogens evolution during the composting of the household waste mixture enriched with phosphate residues and olive oil mill wastewater,Environmental Science,2020,"Waste and Biomass Valorization 11, 1789-1797, 2020",Waste and Biomass Valorization,11,,17891797
"Can the application of graphene oxide contribute to the fight against COVID-19? Antiviral activity, diagnosis and prevention",Environmental Science,2021,"Current Research in Pharmacology and Drug Discovery 2 (100062), 2021",Current Research in Pharmacology and Drug Discovery,2,100062,
Therapeutic potential of polyphenols in the management of diabetic neuropathy,Environmental Science,2021,"Evidence-Based Complementary and Alternative Medicine 2021, 1-20, 2021",Evidence-Based Complementary and Alternative Medicine,2021,,120
Comparative assessment of climate change and its impacts on three coastal aquifers in the Mediterranean,Environmental Science,2014,"Regional environmental change 14, 41-56, 2014",Regional environmental change,14,,4156
An integrated DSS for groundwater management based on remote sensing. The case of a semi-arid aquifer in Morocco,Environmental Science,2012,"Water resources management 26, 3209-3230, 2012",Water resources management,26,,32093230
Natural tracer approach to characterize groundwater in the coastal Sahel of Oualidia (Morocco),Environmental Science,2002,"Environmental Geology 43, 197-202, 2002",Environmental Geology,43,,197202
"Using DC resistivity method to characterize the geometry and the salinity of the Plioquaternary consolidated coastal aquifer of the Mamora plain, Morocco",Environmental Science,2004,"Environmental Geology 45, 518-526, 2004",Environmental Geology,45,,518526
"Evolution of groundwater salinity in the unconfined aquifer of Bou-Areg, Northeastern Mediterranean coast, Morocco",Environmental Science,2008,"Environmental Geology 54, 491-503, 2008",Environmental Geology,54,,491503
"Hydrodynamic characterization of a Sahelian coastal aquifer using the ocean tide effect (Dridrate Aquifer, Morocco)",Environmental Science,2003,"Hydrological Sciences Journal 48 (3), 441-454, 2003",Hydrological Sciences Journal,48,3,441454
"Impact de la sécheresse sur les potentialités hydriques de la nappe alimentant en eau potable la ville d'Essaouira (Mogador, Maroc)",Environmental Science,2002,"Science et changements planétaires/Sécheresse 13 (1), 13-9, 2002",Science et changements planétaires/Sécheresse,13,1,139
Groundwater recharge sources in semiarid irrigated mountain fronts,Environmental Science,2020,"Hydrological Processes 34 (7), 1598-1615, 2020",Hydrological Processes,34,7,15981615
